Date,Competition,Home team,Score,Away team
12/07/23,CLF,Luckenwalde,0-2,Union Berlin
15/07/23,CLF,Zalaegerszeg,3-2,Union Berlin
19/07/23,CLF,Union Berlin,3-0,Rapid Vienna
28/07/23,CLF,Union Berlin,1-2,Pafos
29/07/23,CLF,Udinese,0-1,Union Berlin
05/08/23,CLF,Union Berlin,4-1,Atalanta
13/08/23,DFP,Astoria Walldorf,0-4,Union Berlin
20/08/23,BUN,Union Berlin,4-1,Mainz
26/08/23,BUN,Darmstadt,1-4,Union Berlin
03/09/23,BUN,Union Berlin,0-3,RB Leipzig
16/09/23,BUN,Wolfsburg,2-1,Union Berlin
20/09/23,UCL,Real Madrid,1-0,Union Berlin
23/09/23,BUN,Union Berlin,0-2,Hoffenheim
30/09/23,BUN,Heidenheim,1-0,Union Berlin
03/10/23,UCL,Union Berlin,2-3,Sporting Braga
07/10/23,BUN,Borussia Dortmund,4-2,Union Berlin
21/10/23,BUN,Union Berlin,0-3,Stuttgart
24/10/23,UCL,Union Berlin,0-1,Napoli
28/10/23,BUN,Werder Bremen,2-0,Union Berlin
31/10/23,DFP,Stuttgart,1-0,Union Berlin
04/11/23,BUN,Union Berlin,0-3,Eintracht Frankfurt
08/11/23,UCL,Napoli,1-1,Union Berlin
12/11/23,BUN,Bayer Leverkusen,4-0,Union Berlin
25/11/23,BUN,Union Berlin,1-1,Augsburg
29/11/23,UCL,Sporting Braga,1-1,Union Berlin
09/12/23,BUN,Union Berlin,3-1,Borussia M'gladbach
12/12/23,UCL,Union Berlin,2-3,Real Madrid
16/12/23,BUN,Bochum,3-0,Union Berlin
20/12/23,BUN,Union Berlin,2-0,FC Cologne
06/01/24,CLF,Union Berlin,2-0,Arminia Bielefeld
13/01/24,BUN,Freiburg,0-0,Union Berlin
24/01/24,BUN,Bayern Munich,1-0,Union Berlin
28/01/24,BUN,Union Berlin,1-0,Darmstadt
04/02/24,BUN,RB Leipzig,2-0,Union Berlin
07/02/24,BUN,Mainz,1-1,Union Berlin
10/02/24,BUN,Union Berlin,1-0,Wolfsburg
17/02/24,BUN,Hoffenheim,0-1,Union Berlin
24/02/24,BUN,Union Berlin,2-2,Heidenheim
02/03/24,BUN,Union Berlin,0-2,Borussia Dortmund
08/03/24,BUN,Stuttgart,2-0,Union Berlin
16/03/24,BUN,Union Berlin,2-1,Werder Bremen
21/03/24,CLF,Union Berlin,3-1,Magdeburg
30/03/24,BUN,Eintracht Frankfurt,0-0,Union Berlin
06/04/24,BUN,Union Berlin,0-1,Bayer Leverkusen
12/04/24,BUN,Augsburg,2-0,Union Berlin
20/04/24,BUN,Union Berlin,1-5,Bayern Munich
28/04/24,BUN,Borussia M'gladbach,0-0,Union Berlin
05/05/24,BUN,Union Berlin,15:30,Bochum
11/05/24,BUN,FC Cologne,15:30,Union Berlin
18/05/24,BUN,Union Berlin,15:30,Freiburg
27/08/22,BUN,Schalke 04,1-6,Union Berlin
03/09/22,BUN,Union Berlin,1-1,Bayern Munich
08/09/22,UEL,Union Berlin,0-1,Union Saint-Gilloise
11/09/22,BUN,FC Cologne,0-1,Union Berlin
15/09/22,UEL,Sporting Braga,1-0,Union Berlin
18/09/22,BUN,Union Berlin,2-0,Wolfsburg
01/10/22,BUN,Eintracht Frankfurt,2-0,Union Berlin
06/10/22,UEL,Malmö,0-1,Union Berlin
09/10/22,BUN,Stuttgart,0-1,Union Berlin
13/10/22,UEL,Union Berlin,1-0,Malmö
16/10/22,BUN,Union Berlin,2-0,Borussia Dortmund
19/10/22,DFP,Union Berlin,2-0,Heidenheim
23/10/22,BUN,Bochum,2-1,Union Berlin
27/10/22,UEL,Union Berlin,1-0,Sporting Braga
30/10/22,BUN,Union Berlin,2-1,Borussia M'gladbach
