Date,Competition,Home team,Score,Away team
09/04/23,BUN,Borussia M'gladbach,2-0,Wolfsburg
16/04/23,BUN,Wolfsburg,0-0,Bayer Leverkusen
22/04/23,BUN,Bochum,1-5,Wolfsburg
30/04/23,BUN,Wolfsburg,3-0,Mainz
07/05/23,BUN,Borussia Dortmund,6-0,Wolfsburg
13/05/23,BUN,Wolfsburg,2-1,Hoffenheim
19/05/23,BUN,Freiburg,2-0,Wolfsburg
27/05/23,BUN,Wolfsburg,1-2,Hertha Berlin
29/07/23,CLF,Wolfsburg,1-1,Lens
02/08/23,CLF,Wolfsburg,1-2,Spezia
05/08/23,CLF,Wolfsburg,1-1,Sassuolo
05/08/23,CLF,Wolfsburg,0-1,Celta Vigo
13/08/23,DFP,Makkabi,0-6,Wolfsburg
19/08/23,BUN,Wolfsburg,2-0,Heidenheim
26/08/23,BUN,FC Cologne,1-2,Wolfsburg
02/09/23,BUN,Hoffenheim,3-1,Wolfsburg
16/09/23,BUN,Wolfsburg,2-1,Union Berlin
23/09/23,BUN,Borussia Dortmund,1-0,Wolfsburg
30/09/23,BUN,Wolfsburg,2-0,Eintracht Frankfurt
07/10/23,BUN,Stuttgart,3-1,Wolfsburg
21/10/23,BUN,Wolfsburg,1-2,Bayer Leverkusen
28/10/23,BUN,Augsburg,3-2,Wolfsburg
31/10/23,DFP,Wolfsburg,1-0,RB Leipzig
05/11/23,BUN,Wolfsburg,2-2,Werder Bremen
10/11/23,BUN,Borussia M'gladbach,4-0,Wolfsburg
25/11/23,BUN,Wolfsburg,2-1,RB Leipzig
02/12/23,BUN,Bochum,3-1,Wolfsburg
05/12/23,DFP,Borussia M'gladbach,E1-0E,Wolfsburg
09/12/23,BUN,Wolfsburg,0-1,Freiburg
16/12/23,BUN,Darmstadt,0-1,Wolfsburg
20/12/23,BUN,Wolfsburg,1-2,Bayern Munich
06/01/24,CLF,Schalke 04,2-3,Wolfsburg
13/01/24,BUN,Mainz,1-1,Wolfsburg
20/01/24,BUN,Heidenheim,1-1,Wolfsburg
27/01/24,BUN,Wolfsburg,1-1,FC Cologne
04/02/24,BUN,Wolfsburg,2-2,Hoffenheim
10/02/24,BUN,Union Berlin,1-0,Wolfsburg
17/02/24,BUN,Wolfsburg,1-1,Borussia Dortmund
25/02/24,BUN,Eintracht Frankfurt,2-2,Wolfsburg
02/03/24,BUN,Wolfsburg,2-3,Stuttgart
10/03/24,BUN,Bayer Leverkusen,2-0,Wolfsburg
16/03/24,BUN,Wolfsburg,1-3,Augsburg
30/03/24,BUN,Werder Bremen,0-2,Wolfsburg
07/04/24,BUN,Wolfsburg,1-3,Borussia M'gladbach
13/04/24,BUN,RB Leipzig,3-0,Wolfsburg
20/04/24,BUN,Wolfsburg,1-0,Bochum
27/04/24,BUN,Freiburg,1-2,Wolfsburg
04/05/24,BUN,Wolfsburg,15:30,Darmstadt
12/05/24,BUN,Bayern Munich,17:30,Wolfsburg
18/05/24,BUN,Wolfsburg,15:30,Mainz
05/03/22,BUN,Wolfsburg,1-0,Union Berlin
12/03/22,BUN,Freiburg,3-2,Wolfsburg
20/03/22,BUN,Wolfsburg,0-2,Bayer Leverkusen
03/04/22,BUN,Augsburg,3-0,Wolfsburg
09/04/22,BUN,Wolfsburg,4-0,Arminia Bielefeld
16/04/22,BUN,Borussia Dortmund,6-1,Wolfsburg
22/04/22,BUN,Wolfsburg,5-0,Mainz
30/04/22,BUN,Stuttgart,1-1,Wolfsburg
07/05/22,BUN,FC Cologne,0-1,Wolfsburg
14/05/22,BUN,Wolfsburg,2-2,Bayern Munich
02/07/22,CLF,Osnabrück,CANC,Wolfsburg
09/07/22,CLF,WSG Tirol,1-7,Wolfsburg
16/07/22,CLF,Mechelen,3-4,Wolfsburg
23/07/22,CLF,Wolfsburg,4-0,Brentford
30/07/22,DFP,Carl Zeiss Jena,0-1,Wolfsburg
31/07/22,CLF,Wolfsburg,3-1,Hessen Kassel
06/08/22,BUN,Wolfsburg,2-2,Werder Bremen
14/08/22,BUN,Bayern Munich,2-0,Wolfsburg
20/08/22,BUN,Wolfsburg,0-0,Schalke 04
27/08/22,BUN,RB Leipzig,2-0,Wolfsburg
03/09/22,BUN,Wolfsburg,2-4,FC Cologne
10/09/22,BUN,Eintracht Frankfurt,0-1,Wolfsburg
18/09/22,BUN,Union Berlin,2-0,Wolfsburg
22/09/22,CLF,Wolfsburg,0-0,Hansa Rostock
01/10/22,BUN,Wolfsburg,3-2,Stuttgart
08/10/22,BUN,Augsburg,1-1,Wolfsburg
15/10/22,BUN,Wolfsburg,2-2,Borussia M'gladbach
18/10/22,DFP,Eintracht Braunschweig,1-2,Wolfsburg
22/10/22,BUN,Bayer Leverkusen,2-2,Wolfsburg
29/10/22,BUN,Wolfsburg,4-0,Bochum
05/11/22,BUN,Mainz,0-3,Wolfsburg
08/11/22,BUN,Wolfsburg,2-0,Borussia Dortmund
12/11/22,BUN,Hoffenheim,1-2,Wolfsburg
10/12/22,CLF,Wolfsburg,1-1,Nordsjælland
17/12/22,CLF,Brentford,2-2,Wolfsburg
06/01/23,CLF,Hoffenheim,2-3,Wolfsburg
14/01/23,CLF,Augsburg,0-4,Wolfsburg
14/01/23,CLF,Augsburg,1-0,Wolfsburg
21/01/23,BUN,Wolfsburg,6-0,Freiburg
24/01/23,BUN,Hertha Berlin,0-5,Wolfsburg
28/01/23,BUN,Werder Bremen,2-1,Wolfsburg
31/01/23,DFP,Union Berlin,2-1,Wolfsburg
05/02/23,BUN,Wolfsburg,2-4,Bayern Munich
10/02/23,BUN,Schalke 04,0-0,Wolfsburg
18/02/23,BUN,Wolfsburg,0-3,RB Leipzig
25/02/23,BUN,FC Cologne,0-2,Wolfsburg
05/03/23,BUN,Wolfsburg,2-2,Eintracht Frankfurt
12/03/23,BUN,Wolfsburg,1-1,Union Berlin
18/03/23,BUN,Stuttgart,0-1,Wolfsburg
01/04/23,BUN,Wolfsburg,2-2,Augsburg
20/03/21,BUN,Werder Bremen,1-2,Wolfsburg
03/04/21,BUN,Wolfsburg,1-0,FC Cologne
10/04/21,BUN,Eintracht Frankfurt,4-3,Wolfsburg
17/04/21,BUN,Wolfsburg,2-3,Bayern Munich
21/04/21,BUN,Stuttgart,1-3,Wolfsburg
24/04/21,BUN,Wolfsburg,0-2,Borussia Dortmund
08/05/21,BUN,Wolfsburg,3-0,Union Berlin
16/05/21,BUN,RB Leipzig,2-2,Wolfsburg
22/05/21,BUN,Wolfsburg,2-3,Mainz
06/07/21,CLF,Wolfsburg,2-1,Erzgebirge Aue
10/07/21,CLF,Wolfsburg,0-3,Hansa Rostock
14/07/21,CLF,Wolfsburg,0-1,Holstein Kiel
17/07/21,CLF,Lyon,4-1,Wolfsburg
24/07/21,CLF,Wolfsburg,1-2,Monaco
31/07/21,CLF,Wolfsburg,1-2,Atletico Madrid
08/08/21,DFP,Preußen Münster,2-0,Wolfsburg
14/08/21,BUN,Wolfsburg,1-0,Bochum
21/08/21,BUN,Hertha Berlin,1-2,Wolfsburg
29/08/21,BUN,Wolfsburg,1-0,RB Leipzig
01/09/21,CLF,Wolfsburg,3-3,Hannover 96
11/09/21,BUN,Greuther Fürth,0-2,Wolfsburg
14/09/21,UCL,Lille,0-0,Wolfsburg
19/09/21,BUN,Wolfsburg,1-1,Eintracht Frankfurt
25/09/21,BUN,Hoffenheim,3-1,Wolfsburg
29/09/21,UCL,Wolfsburg,1-1,Sevilla
02/10/21,BUN,Wolfsburg,1-3,Borussia M'gladbach
06/10/21,CLF,Wolfsburg,4-1,Hamburg
16/10/21,BUN,Union Berlin,2-0,Wolfsburg
20/10/21,UCL,Salzburg,3-1,Wolfsburg
23/10/21,BUN,Wolfsburg,0-2,Freiburg
30/10/21,BUN,Bayer Leverkusen,0-2,Wolfsburg
02/11/21,UCL,Wolfsburg,2-1,Salzburg
06/11/21,BUN,Wolfsburg,1-0,Augsburg
10/11/21,CLF,Wolfsburg,1-3,Hansa Rostock
20/11/21,BUN,Arminia Bielefeld,2-2,Wolfsburg
23/11/21,UCL,Sevilla,2-0,Wolfsburg
27/11/21,BUN,Wolfsburg,1-3,Borussia Dortmund
04/12/21,BUN,Mainz,3-0,Wolfsburg
08/12/21,UCL,Wolfsburg,1-3,Lille
11/12/21,BUN,Wolfsburg,0-2,Stuttgart
14/12/21,BUN,Wolfsburg,2-3,FC Cologne
17/12/21,BUN,Bayern Munich,4-0,Wolfsburg
04/01/22,CLF,Wolfsburg,5-4,Paderborn
09/01/22,BUN,Bochum,1-0,Wolfsburg
15/01/22,BUN,Wolfsburg,0-0,Hertha Berlin
23/01/22,BUN,RB Leipzig,2-0,Wolfsburg
06/02/22,BUN,Wolfsburg,4-1,Greuther Fürth
12/02/22,BUN,Eintracht Frankfurt,0-2,Wolfsburg
19/02/22,BUN,Wolfsburg,1-2,Hoffenheim
26/02/22,BUN,Borussia M'gladbach,2-2,Wolfsburg
27/03/20,CLF,Germania Halberstadt,CANC,Wolfsburg
16/05/20,BUN,Augsburg,1-2,Wolfsburg
23/05/20,BUN,Wolfsburg,0-2,Borussia Dortmund
26/05/20,BUN,Bayer Leverkusen,1-4,Wolfsburg
30/05/20,BUN,Wolfsburg,1-2,Eintracht Frankfurt
07/06/20,BUN,Werder Bremen,0-1,Wolfsburg
13/06/20,BUN,Wolfsburg,2-2,Freiburg
16/06/20,BUN,Borussia M'gladbach,3-0,Wolfsburg
20/06/20,BUN,Schalke 04,1-4,Wolfsburg
27/06/20,BUN,Wolfsburg,0-4,Bayern Munich
30/07/20,CLF,RB Leipzig,1-1,Wolfsburg
05/08/20,UEL,Shakhtar Donetsk,3-0,Wolfsburg
15/08/20,CLF,Wolfsburg,0-1,Eintracht Braunschweig
18/08/20,CLF,Wolfsburg,2-0,Phönix Lübeck
22/08/20,CLF,Wolfsburg,2-0,Holstein Kiel
29/08/20,CLF,FC Cologne,0-3,Wolfsburg
05/09/20,CLF,Magdeburg,1-4,Wolfsburg
12/09/20,DFP,Union Fürstenwalde,1-4,Wolfsburg
17/09/20,UEL,Kukësi,0-4,Wolfsburg
20/09/20,BUN,Wolfsburg,0-0,Bayer Leverkusen
