Date,Competition,Home team,Score,Away team
05/08/23,CLF,Freiburg,2-0,Empoli
13/08/23,DFP,Oberachern,0-2,Freiburg
19/08/23,BUN,Hoffenheim,1-2,Freiburg
26/08/23,BUN,Freiburg,1-0,Werder Bremen
02/09/23,BUN,Stuttgart,5-0,Freiburg
07/09/23,CLF,Karlsruhe,0-1,Freiburg
16/09/23,BUN,Freiburg,2-4,Borussia Dortmund
21/09/23,UEL,Olympiakos,2-3,Freiburg
24/09/23,BUN,Eintracht Frankfurt,0-0,Freiburg
01/10/23,BUN,Freiburg,2-0,Augsburg
05/10/23,UEL,Freiburg,1-2,West Ham United
08/10/23,BUN,Bayern Munich,3-0,Freiburg
21/10/23,BUN,Freiburg,2-1,Bochum
26/10/23,UEL,TSC,1-3,Freiburg
29/10/23,BUN,Bayer Leverkusen,2-1,Freiburg
01/11/23,DFP,Freiburg,1-3,Paderborn
04/11/23,BUN,Freiburg,3-3,Borussia M'gladbach
09/11/23,UEL,Freiburg,5-0,TSC
12/11/23,BUN,RB Leipzig,3-1,Freiburg
25/11/23,BUN,Freiburg,1-1,Darmstadt
30/11/23,UEL,Freiburg,5-0,Olympiakos
03/12/23,BUN,Mainz,0-1,Freiburg
09/12/23,BUN,Wolfsburg,0-1,Freiburg
14/12/23,UEL,West Ham United,2-0,Freiburg
17/12/23,BUN,Freiburg,2-0,FC Cologne
20/12/23,BUN,Heidenheim,3-2,Freiburg
06/01/24,CLF,Eintracht Frankfurt,2-5,Freiburg
13/01/24,BUN,Freiburg,0-0,Union Berlin
20/01/24,BUN,Freiburg,3-2,Hoffenheim
27/01/24,BUN,Werder Bremen,3-1,Freiburg
03/02/24,BUN,Freiburg,1-3,Stuttgart
09/02/24,BUN,Borussia Dortmund,3-0,Freiburg
15/02/24,UEL,Lens,0-0,Freiburg
18/02/24,BUN,Freiburg,3-3,Eintracht Frankfurt
22/02/24,UEL,Freiburg,E3-2E,Lens
25/02/24,BUN,Augsburg,2-1,Freiburg
01/03/24,BUN,Freiburg,2-2,Bayern Munich
07/03/24,UEL,Freiburg,1-0,West Ham United
10/03/24,BUN,Bochum,1-2,Freiburg
14/03/24,UEL,West Ham United,5-0,Freiburg
17/03/24,BUN,Freiburg,2-3,Bayer Leverkusen
21/03/24,CLF,Freiburg,4-1,St.Gallen
30/03/24,BUN,Borussia M'gladbach,0-3,Freiburg
06/04/24,BUN,Freiburg,1-4,RB Leipzig
14/04/24,BUN,Darmstadt,0-1,Freiburg
21/04/24,BUN,Freiburg,1-1,Mainz
27/04/24,BUN,Freiburg,1-2,Wolfsburg
04/05/24,BUN,FC Cologne,18:30,Freiburg
11/05/24,BUN,Freiburg,15:30,Heidenheim
18/05/24,BUN,Union Berlin,15:30,Freiburg
26/08/22,BUN,Freiburg,1-0,Bochum
03/09/22,BUN,Bayer Leverkusen,2-3,Freiburg
08/09/22,UEL,Freiburg,2-1,Qarabag
11/09/22,BUN,Freiburg,0-0,Borussia M'gladbach
15/09/22,UEL,Olympiakos,0-3,Freiburg
18/09/22,BUN,Hoffenheim,0-0,Freiburg
01/10/22,BUN,Freiburg,2-1,Mainz
06/10/22,UEL,Freiburg,2-0,Nantes
09/10/22,BUN,Hertha Berlin,2-2,Freiburg
13/10/22,UEL,Nantes,0-4,Freiburg
16/10/22,BUN,Bayern Munich,5-0,Freiburg
19/10/22,DFP,Freiburg,E2-1E,St. Pauli
22/10/22,BUN,Freiburg,2-0,Werder Bremen
27/10/22,UEL,Freiburg,1-1,Olympiakos
30/10/22,BUN,Schalke 04,0-2,Freiburg
03/11/22,UEL,Qarabag,1-1,Freiburg
06/11/22,BUN,Freiburg,2-0,FC Cologne
09/11/22,BUN,RB Leipzig,3-1,Freiburg
13/11/22,BUN,Freiburg,4-1,Union Berlin
09/12/22,CLF,Freiburg,2-2,Luzern
22/12/22,CLF,Freiburg,1-1,Young Boys
07/01/23,CLF,Freiburg,CANC,Basel
13/01/23,CLF,Freiburg,CANC,Hamburg
21/01/23,BUN,Wolfsburg,6-0,Freiburg
25/01/23,BUN,Freiburg,1-1,Eintracht Frankfurt
28/01/23,BUN,Freiburg,3-1,Augsburg
04/02/23,BUN,Borussia Dortmund,5-1,Freiburg
07/02/23,DFP,Sandhausen,0-2,Freiburg
11/02/23,BUN,Freiburg,2-1,Stuttgart
18/02/23,BUN,Bochum,0-2,Freiburg
26/02/23,BUN,Freiburg,1-1,Bayer Leverkusen
04/03/23,BUN,Borussia M'gladbach,0-0,Freiburg
09/03/23,UEL,Juventus,1-0,Freiburg
12/03/23,BUN,Freiburg,2-1,Hoffenheim
16/03/23,UEL,Freiburg,0-2,Juventus
19/03/23,BUN,Mainz,1-1,Freiburg
01/04/23,BUN,Freiburg,1-1,Hertha Berlin
04/04/23,DFP,Bayern Munich,1-2,Freiburg
08/04/23,BUN,Freiburg,0-1,Bayern Munich
16/04/23,BUN,Werder Bremen,1-2,Freiburg
23/04/23,BUN,Freiburg,4-0,Schalke 04
29/04/23,BUN,FC Cologne,0-1,Freiburg
02/05/23,DFP,Freiburg,1-5,RB Leipzig
06/05/23,BUN,Freiburg,0-1,RB Leipzig
13/05/23,BUN,Union Berlin,4-2,Freiburg
19/05/23,BUN,Freiburg,2-0,Wolfsburg
27/05/23,BUN,Eintracht Frankfurt,2-1,Freiburg
15/07/23,CLF,Freiburg,6-1,Grasshoppers
29/07/23,CLF,Freiburg,2-2,Strasbourg
29/07/23,CLF,Freiburg,2-2,Strasbourg
14/08/21,BUN,Arminia Bielefeld,0-0,Freiburg
21/08/21,BUN,Freiburg,2-1,Borussia Dortmund
28/08/21,BUN,Stuttgart,2-3,Freiburg
11/09/21,BUN,Freiburg,1-1,FC Cologne
18/09/21,BUN,Mainz,0-0,Freiburg
26/09/21,BUN,Freiburg,3-0,Augsburg
02/10/21,BUN,Hertha Berlin,1-2,Freiburg
07/10/21,CLF,Freiburg,3-0,St. Pauli
16/10/21,BUN,Freiburg,1-1,RB Leipzig
23/10/21,BUN,Wolfsburg,0-2,Freiburg
26/10/21,DFP,Osnabrück,P2-2P,Freiburg
30/10/21,BUN,Freiburg,3-1,Greuther Fürth
06/11/21,BUN,Bayern Munich,2-1,Freiburg
11/11/21,CLF,Karlsruhe,1-2,Freiburg
21/11/21,BUN,Freiburg,0-2,Eintracht Frankfurt
27/11/21,BUN,Bochum,2-1,Freiburg
05/12/21,BUN,Borussia M'gladbach,0-6,Freiburg
11/12/21,BUN,Freiburg,1-2,Hoffenheim
15/12/21,BUN,Union Berlin,0-0,Freiburg
19/12/21,BUN,Freiburg,2-1,Bayer Leverkusen
08/01/22,BUN,Freiburg,2-2,Arminia Bielefeld
14/01/22,BUN,Borussia Dortmund,5-1,Freiburg
19/01/22,DFP,Hoffenheim,1-4,Freiburg
22/01/22,BUN,Freiburg,2-0,Stuttgart
05/02/22,BUN,FC Cologne,1-0,Freiburg
12/02/22,BUN,Freiburg,1-1,Mainz
19/02/22,BUN,Augsburg,1-2,Freiburg
26/02/22,BUN,Freiburg,3-0,Hertha Berlin
02/03/22,DFP,Bochum,E1-2E,Freiburg
05/03/22,BUN,RB Leipzig,1-1,Freiburg
12/03/22,BUN,Freiburg,3-2,Wolfsburg
19/03/22,BUN,Greuther Fürth,0-0,Freiburg
02/04/22,BUN,Freiburg,1-4,Bayern Munich
10/04/22,BUN,Eintracht Frankfurt,1-2,Freiburg
16/04/22,BUN,Freiburg,3-0,Bochum
19/04/22,DFP,Hamburg,1-3,Freiburg
23/04/22,BUN,Freiburg,3-3,Borussia M'gladbach
30/04/22,BUN,Hoffenheim,3-4,Freiburg
07/05/22,BUN,Freiburg,1-4,Union Berlin
14/05/22,BUN,Bayer Leverkusen,2-1,Freiburg
21/05/22,DFP,Freiburg,P1-1P,RB Leipzig
02/07/22,CLF,Freiburg,0-0,Elversberg
09/07/22,CLF,St.Gallen,3-4,Freiburg
16/07/22,CLF,Freiburg,3-0,Rayo Vallecano
16/07/22,CLF,Freiburg,1-0,Rennes
20/07/22,CLF,Bahlinger SC,0-1,Freiburg
31/07/22,DFP,Kaiserslautern,E1-2E,Freiburg
06/08/22,BUN,Augsburg,0-4,Freiburg
12/08/22,BUN,Freiburg,1-3,Borussia Dortmund
20/08/22,BUN,Stuttgart,0-1,Freiburg
20/06/20,BUN,Bayern Munich,3-1,Freiburg
27/06/20,BUN,Freiburg,4-0,Schalke 04
15/08/20,CLF,Freiburg,1-1,Karlsruhe
22/08/20,CLF,Dornbirn,1-8,Freiburg
29/08/20,CLF,St.Gallen,3-1,Freiburg
06/09/20,CLF,Freiburg,4-1,Górnik Zabrze
06/09/20,CLF,Freiburg,1-1,Sandhausen
13/09/20,DFP,Waldhof Mannheim,1-2,Freiburg
19/09/20,BUN,Stuttgart,2-3,Freiburg
27/09/20,BUN,Freiburg,1-1,Wolfsburg
03/10/20,BUN,Borussia Dortmund,4-0,Freiburg
08/10/20,CLF,Freiburg,0-3,Stuttgart
17/10/20,BUN,Freiburg,1-1,Werder Bremen
24/10/20,BUN,Union Berlin,1-1,Freiburg
01/11/20,BUN,Freiburg,2-4,Bayer Leverkusen
07/11/20,BUN,RB Leipzig,3-0,Freiburg
22/11/20,BUN,Freiburg,1-3,Mainz
28/11/20,BUN,Augsburg,1-1,Freiburg
05/12/20,BUN,Freiburg,2-2,Borussia M'gladbach
12/12/20,BUN,Freiburg,2-0,Arminia Bielefeld
16/12/20,BUN,Schalke 04,0-2,Freiburg
20/12/20,BUN,Freiburg,4-1,Hertha Berlin
23/12/20,DFP,Stuttgart,1-0,Freiburg
02/01/21,BUN,Hoffenheim,1-3,Freiburg
09/01/21,BUN,Freiburg,5-0,FC Cologne
17/01/21,BUN,Bayern Munich,2-1,Freiburg
20/01/21,BUN,Freiburg,2-2,Eintracht Frankfurt
23/01/21,BUN,Freiburg,2-1,Stuttgart
31/01/21,BUN,Wolfsburg,3-0,Freiburg
06/02/21,BUN,Freiburg,2-1,Borussia Dortmund
13/02/21,BUN,Werder Bremen,0-0,Freiburg
20/02/21,BUN,Freiburg,0-1,Union Berlin
28/02/21,BUN,Bayer Leverkusen,1-2,Freiburg
06/03/21,BUN,Freiburg,0-3,RB Leipzig
13/03/21,BUN,Mainz,1-0,Freiburg
21/03/21,BUN,Freiburg,2-0,Augsburg
03/04/21,BUN,Borussia M'gladbach,2-1,Freiburg
09/04/21,BUN,Arminia Bielefeld,1-0,Freiburg
17/04/21,BUN,Freiburg,4-0,Schalke 04
