Date,Competition,Home team,Score,Away team
13/05/23,BUN,Borussia Dortmund,5-2,Borussia M'gladbach
21/05/23,BUN,Bayer Leverkusen,2-2,Borussia M'gladbach
27/05/23,BUN,Borussia M'gladbach,2-0,Augsburg
29/05/23,CLF,Oberneuland,0-7,Borussia M'gladbach
31/05/23,CLF,Hallescher FC,0-3,Borussia M'gladbach
15/07/23,CLF,Wegberg-Beeck,1-1,Borussia M'gladbach
22/07/23,CLF,Saarbrücken,1-2,Borussia M'gladbach
26/07/23,CLF,Borussia M'gladbach,2-1,Ingolstadt
05/08/23,CLF,Borussia M'gladbach,2-2,Montpellier
11/08/23,DFP,Bersenbrück,0-7,Borussia M'gladbach
19/08/23,BUN,Augsburg,4-4,Borussia M'gladbach
26/08/23,BUN,Borussia M'gladbach,0-3,Bayer Leverkusen
02/09/23,BUN,Borussia M'gladbach,1-2,Bayern Munich
07/09/23,CLF,Borussia M'gladbach,0-1,Werder Bremen
17/09/23,BUN,Darmstadt,3-3,Borussia M'gladbach
23/09/23,BUN,Borussia M'gladbach,0-1,RB Leipzig
30/09/23,BUN,Bochum,1-3,Borussia M'gladbach
06/10/23,BUN,Borussia M'gladbach,2-2,Mainz
12/10/23,CLF,Borussia M'gladbach,4-1,Sint-Truiden
22/10/23,BUN,FC Cologne,3-1,Borussia M'gladbach
28/10/23,BUN,Borussia M'gladbach,2-1,Heidenheim
31/10/23,DFP,Borussia M'gladbach,3-1,Heidenheim
04/11/23,BUN,Freiburg,3-3,Borussia M'gladbach
10/11/23,BUN,Borussia M'gladbach,4-0,Wolfsburg
25/11/23,BUN,Borussia Dortmund,4-2,Borussia M'gladbach
02/12/23,BUN,Borussia M'gladbach,2-1,Hoffenheim
05/12/23,DFP,Borussia M'gladbach,E1-0E,Wolfsburg
09/12/23,BUN,Union Berlin,3-1,Borussia M'gladbach
15/12/23,BUN,Borussia M'gladbach,2-2,Werder Bremen
20/12/23,BUN,Eintracht Frankfurt,2-1,Borussia M'gladbach
14/01/24,BUN,Borussia M'gladbach,3-1,Stuttgart
21/01/24,BUN,Borussia M'gladbach,1-2,Augsburg
27/01/24,BUN,Bayer Leverkusen,0-0,Borussia M'gladbach
03/02/24,BUN,Bayern Munich,3-1,Borussia M'gladbach
10/02/24,BUN,Borussia M'gladbach,0-0,Darmstadt
17/02/24,BUN,RB Leipzig,2-0,Borussia M'gladbach
24/02/24,BUN,Borussia M'gladbach,5-2,Bochum
02/03/24,BUN,Mainz,1-1,Borussia M'gladbach
09/03/24,BUN,Borussia M'gladbach,3-3,FC Cologne
12/03/24,DFP,Saarbrücken,2-1,Borussia M'gladbach
16/03/24,BUN,Heidenheim,1-1,Borussia M'gladbach
21/03/24,CLF,Borussia M'gladbach,2-0,AS Eupen
30/03/24,BUN,Borussia M'gladbach,0-3,Freiburg
07/04/24,BUN,Wolfsburg,1-3,Borussia M'gladbach
13/04/24,BUN,Borussia M'gladbach,1-2,Borussia Dortmund
20/04/24,BUN,Hoffenheim,4-3,Borussia M'gladbach
28/04/24,BUN,Borussia M'gladbach,0-0,Union Berlin
04/05/24,BUN,Werder Bremen,15:30,Borussia M'gladbach
11/05/24,BUN,Borussia M'gladbach,15:30,Eintracht Frankfurt
18/05/24,BUN,Stuttgart,15:30,Borussia M'gladbach
03/04/22,BUN,Borussia M'gladbach,1-1,Mainz
09/04/22,BUN,Greuther Fürth,0-2,Borussia M'gladbach
16/04/22,BUN,Borussia M'gladbach,1-3,FC Cologne
23/04/22,BUN,Freiburg,3-3,Borussia M'gladbach
02/05/22,BUN,Borussia M'gladbach,3-1,RB Leipzig
08/05/22,BUN,Eintracht Frankfurt,1-1,Borussia M'gladbach
11/05/22,HYF,Borussia M'gladbach,1-2,Ukraine
14/05/22,BUN,Borussia M'gladbach,5-1,Hoffenheim
01/07/22,CLF,Rot-Weiss Essen,2-4,Borussia M'gladbach
10/07/22,CLF,1860 München,0-6,Borussia M'gladbach
13/07/22,CLF,Borussia M'gladbach,5-2,Viktoria Köln
16/07/22,CLF,Standard Liège,1-1,Borussia M'gladbach
20/07/22,CLF,Borussia M'gladbach,1-1,RKC Waalwijk
23/07/22,CLF,Borussia M'gladbach,1-1,Real Sociedad
31/07/22,DFP,Oberachern,1-9,Borussia M'gladbach
06/08/22,BUN,Borussia M'gladbach,3-1,Hoffenheim
13/08/22,BUN,Schalke 04,2-2,Borussia M'gladbach
19/08/22,BUN,Borussia M'gladbach,1-0,Hertha Berlin
27/08/22,BUN,Bayern Munich,1-1,Borussia M'gladbach
04/09/22,BUN,Borussia M'gladbach,0-1,Mainz
11/09/22,BUN,Freiburg,0-0,Borussia M'gladbach
17/09/22,BUN,Borussia M'gladbach,3-0,RB Leipzig
01/10/22,BUN,Werder Bremen,5-1,Borussia M'gladbach
09/10/22,BUN,Borussia M'gladbach,5-2,FC Cologne
15/10/22,BUN,Wolfsburg,2-2,Borussia M'gladbach
18/10/22,DFP,Darmstadt,2-1,Borussia M'gladbach
22/10/22,BUN,Borussia M'gladbach,1-3,Eintracht Frankfurt
30/10/22,BUN,Union Berlin,2-1,Borussia M'gladbach
04/11/22,BUN,Borussia M'gladbach,3-1,Stuttgart
