Date,Competition,Home team,Score,Away team
11/03/23,BUN,Hertha Berlin,1-1,Mainz
19/03/23,BUN,Mainz,1-1,Freiburg
01/04/23,BUN,RB Leipzig,0-3,Mainz
08/04/23,BUN,Mainz,2-2,Werder Bremen
15/04/23,BUN,FC Cologne,1-1,Mainz
22/04/23,BUN,Mainz,3-1,Bayern Munich
30/04/23,BUN,Wolfsburg,3-0,Mainz
05/05/23,BUN,Mainz,2-3,Schalke 04
13/05/23,BUN,Eintracht Frankfurt,3-0,Mainz
21/05/23,BUN,Mainz,1-4,Stuttgart
27/05/23,BUN,Borussia Dortmund,2-2,Mainz
14/07/23,CLF,Koblenz,1-6,Mainz
01/08/23,CLF,Mainz,4-1,St.Gallen
12/08/23,DFP,Elversberg,0-1,Mainz
20/08/23,BUN,Union Berlin,4-1,Mainz
27/08/23,BUN,Mainz,1-1,Eintracht Frankfurt
02/09/23,BUN,Werder Bremen,4-0,Mainz
09/09/23,CLF,Mainz,2-0,MSV Duisburg
16/09/23,BUN,Mainz,1-3,Stuttgart
23/09/23,BUN,Augsburg,2-1,Mainz
30/09/23,BUN,Mainz,0-3,Bayer Leverkusen
06/10/23,BUN,Borussia M'gladbach,2-2,Mainz
21/10/23,BUN,Mainz,1-3,Bayern Munich
27/10/23,BUN,Bochum,2-2,Mainz
01/11/23,DFP,Hertha Berlin,3-0,Mainz
04/11/23,BUN,Mainz,2-0,RB Leipzig
11/11/23,BUN,Darmstadt,0-0,Mainz
26/11/23,BUN,Hoffenheim,1-1,Mainz
03/12/23,BUN,Mainz,0-1,Freiburg
10/12/23,BUN,FC Cologne,0-0,Mainz
16/12/23,BUN,Mainz,0-1,Heidenheim
19/12/23,BUN,Borussia Dortmund,1-1,Mainz
13/01/24,BUN,Mainz,1-1,Wolfsburg
26/01/24,BUN,Eintracht Frankfurt,1-0,Mainz
03/02/24,BUN,Mainz,0-1,Werder Bremen
07/02/24,BUN,Mainz,1-1,Union Berlin
11/02/24,BUN,Stuttgart,3-1,Mainz
17/02/24,BUN,Mainz,1-0,Augsburg
23/02/24,BUN,Bayer Leverkusen,2-1,Mainz
02/03/24,BUN,Mainz,1-1,Borussia M'gladbach
09/03/24,BUN,Bayern Munich,8-1,Mainz
16/03/24,BUN,Mainz,2-0,Bochum
30/03/24,BUN,RB Leipzig,0-0,Mainz
06/04/24,BUN,Mainz,4-0,Darmstadt
13/04/24,BUN,Mainz,4-1,Hoffenheim
21/04/24,BUN,Freiburg,1-1,Mainz
28/04/24,BUN,Mainz,1-1,FC Cologne
05/05/24,BUN,Heidenheim,19:30,Mainz
11/05/24,BUN,Mainz,18:30,Borussia Dortmund
18/05/24,BUN,Wolfsburg,15:30,Mainz
05/02/22,BUN,Mainz,2-0,Hoffenheim
12/02/22,BUN,Freiburg,1-1,Mainz
18/02/22,BUN,Mainz,3-2,Bayer Leverkusen
26/02/22,BUN,Union Berlin,3-1,Mainz
16/03/22,BUN,Mainz,0-1,Borussia Dortmund
19/03/22,BUN,Mainz,4-0,Arminia Bielefeld
24/03/22,CLF,Mainz,CANC,Darmstadt
25/03/22,CLF,Mainz,CANC,Viktoria Köln
03/04/22,BUN,Borussia M'gladbach,1-1,Mainz
06/04/22,BUN,Augsburg,2-1,Mainz
09/04/22,BUN,FC Cologne,3-2,Mainz
16/04/22,BUN,Mainz,0-0,Stuttgart
22/04/22,BUN,Wolfsburg,5-0,Mainz
30/04/22,BUN,Mainz,3-1,Bayern Munich
07/05/22,BUN,Hertha Berlin,1-2,Mainz
14/05/22,BUN,Mainz,2-2,Eintracht Frankfurt
02/07/22,CLF,Wormatia Worms,0-4,Mainz
15/07/22,CLF,Mainz,0-1,Besiktas
18/07/22,CLF,Mainz,1-0,Newcastle United
23/07/22,CLF,Mainz,1-1,Athletic Bilbao
31/07/22,DFP,Erzgebirge Aue,0-3,Mainz
06/08/22,BUN,Bochum,1-2,Mainz
14/08/22,BUN,Mainz,0-0,Union Berlin
20/08/22,BUN,Augsburg,1-2,Mainz
27/08/22,BUN,Mainz,0-3,Bayer Leverkusen
04/09/22,BUN,Borussia M'gladbach,0-1,Mainz
10/09/22,BUN,Hoffenheim,4-1,Mainz
16/09/22,BUN,Mainz,1-1,Hertha Berlin
