Date,Competition,Home team,Score,Away team
18/08/23,BUN,Werder Bremen,0-4,Bayern Munich
27/08/23,BUN,Bayern Munich,3-1,Augsburg
02/09/23,BUN,Borussia M'gladbach,1-2,Bayern Munich
15/09/23,BUN,Bayern Munich,2-2,Bayer Leverkusen
20/09/23,UCL,Bayern Munich,4-3,Manchester United
23/09/23,BUN,Bayern Munich,7-0,Bochum
26/09/23,DFP,Preußen Münster,0-4,Bayern Munich
30/09/23,BUN,RB Leipzig,2-2,Bayern Munich
03/10/23,UCL,FC Copenhagen,1-2,Bayern Munich
08/10/23,BUN,Bayern Munich,3-0,Freiburg
21/10/23,BUN,Mainz,1-3,Bayern Munich
24/10/23,UCL,Galatasaray,1-3,Bayern Munich
28/10/23,BUN,Bayern Munich,8-0,Darmstadt
01/11/23,DFP,Saarbrücken,2-1,Bayern Munich
04/11/23,BUN,Borussia Dortmund,0-4,Bayern Munich
08/11/23,UCL,Bayern Munich,2-1,Galatasaray
11/11/23,BUN,Bayern Munich,4-2,Heidenheim
24/11/23,BUN,FC Cologne,0-1,Bayern Munich
29/11/23,UCL,Bayern Munich,0-0,FC Copenhagen
09/12/23,BUN,Eintracht Frankfurt,5-1,Bayern Munich
12/12/23,UCL,Manchester United,0-1,Bayern Munich
17/12/23,BUN,Bayern Munich,3-0,Stuttgart
20/12/23,BUN,Wolfsburg,1-2,Bayern Munich
06/01/24,CLF,Basel,1-1,Bayern Munich
12/01/24,BUN,Bayern Munich,3-0,Hoffenheim
21/01/24,BUN,Bayern Munich,0-1,Werder Bremen
24/01/24,BUN,Bayern Munich,1-0,Union Berlin
27/01/24,BUN,Augsburg,2-3,Bayern Munich
03/02/24,BUN,Bayern Munich,3-1,Borussia M'gladbach
10/02/24,BUN,Bayer Leverkusen,3-0,Bayern Munich
14/02/24,UCL,Lazio,1-0,Bayern Munich
18/02/24,BUN,Bochum,3-2,Bayern Munich
24/02/24,BUN,Bayern Munich,2-1,RB Leipzig
01/03/24,BUN,Freiburg,2-2,Bayern Munich
05/03/24,UCL,Bayern Munich,3-0,Lazio
09/03/24,BUN,Bayern Munich,8-1,Mainz
16/03/24,BUN,Darmstadt,2-5,Bayern Munich
30/03/24,BUN,Bayern Munich,0-2,Borussia Dortmund
06/04/24,BUN,Heidenheim,3-2,Bayern Munich
09/04/24,UCL,Arsenal,2-2,Bayern Munich
13/04/24,BUN,Bayern Munich,2-0,FC Cologne
17/04/24,UCL,Bayern Munich,1-0,Arsenal
20/04/24,BUN,Union Berlin,1-5,Bayern Munich
27/04/24,BUN,Bayern Munich,2-1,Eintracht Frankfurt
30/04/24,UCL,Bayern Munich,2-2,Real Madrid
04/05/24,BUN,Stuttgart,15:30,Bayern Munich
08/05/24,UCL,Real Madrid,21:00,Bayern Munich
12/05/24,BUN,Bayern Munich,17:30,Wolfsburg
18/05/24,BUN,Hoffenheim,15:30,Bayern Munich
10/08/24,CLF,Tottenham Hotspur,18:30,Bayern Munich
31/08/22,DFP,Viktoria Köln,0-5,Bayern Munich
03/09/22,BUN,Union Berlin,1-1,Bayern Munich
07/09/22,UCL,Inter Milan,0-2,Bayern Munich
10/09/22,BUN,Bayern Munich,2-2,Stuttgart
13/09/22,UCL,Bayern Munich,2-0,Barcelona
17/09/22,BUN,Augsburg,1-0,Bayern Munich
30/09/22,BUN,Bayern Munich,4-0,Bayer Leverkusen
04/10/22,UCL,Bayern Munich,5-0,Viktoria Plzen
08/10/22,BUN,Borussia Dortmund,2-2,Bayern Munich
12/10/22,UCL,Viktoria Plzen,2-4,Bayern Munich
16/10/22,BUN,Bayern Munich,5-0,Freiburg
19/10/22,DFP,Augsburg,2-5,Bayern Munich
22/10/22,BUN,Hoffenheim,0-2,Bayern Munich
26/10/22,UCL,Barcelona,0-3,Bayern Munich
29/10/22,BUN,Bayern Munich,6-2,Mainz
01/11/22,UCL,Bayern Munich,2-0,Inter Milan
05/11/22,BUN,Hertha Berlin,2-3,Bayern Munich
08/11/22,BUN,Bayern Munich,6-1,Werder Bremen
12/11/22,BUN,Schalke 04,0-2,Bayern Munich
13/01/23,CLF,Bayern Munich,4-4,Salzburg
20/01/23,BUN,RB Leipzig,1-1,Bayern Munich
24/01/23,BUN,Bayern Munich,1-1,FC Cologne
28/01/23,BUN,Bayern Munich,1-1,Eintracht Frankfurt
01/02/23,DFP,Mainz,0-4,Bayern Munich
05/02/23,BUN,Wolfsburg,2-4,Bayern Munich
11/02/23,BUN,Bayern Munich,3-0,Bochum
14/02/23,UCL,PSG,0-1,Bayern Munich
18/02/23,BUN,Borussia M'gladbach,3-2,Bayern Munich
26/02/23,BUN,Bayern Munich,3-0,Union Berlin
04/03/23,BUN,Stuttgart,1-2,Bayern Munich
08/03/23,UCL,Bayern Munich,2-0,PSG
11/03/23,BUN,Bayern Munich,5-3,Augsburg
19/03/23,BUN,Bayer Leverkusen,2-1,Bayern Munich
01/04/23,BUN,Bayern Munich,4-2,Borussia Dortmund
04/04/23,DFP,Bayern Munich,1-2,Freiburg
08/04/23,BUN,Freiburg,0-1,Bayern Munich
11/04/23,UCL,Manchester City,3-0,Bayern Munich
15/04/23,BUN,Bayern Munich,1-1,Hoffenheim
19/04/23,UCL,Bayern Munich,1-1,Manchester City
22/04/23,BUN,Mainz,3-1,Bayern Munich
30/04/23,BUN,Bayern Munich,2-0,Hertha Berlin
06/05/23,BUN,Werder Bremen,1-2,Bayern Munich
13/05/23,BUN,Bayern Munich,6-0,Schalke 04
