Date,Competition,Home team,Score,Away team
29/04/23,1.L,Pendikspor,3-2,Rizespor
07/05/23,1.L,Sakaryaspor,3-2,Pendikspor
16/05/23,1.L,Pendikspor,2-1,Bandırmaspor
21/05/23,1.L,Manisa FK,1-5,Pendikspor
08/06/23,1.L,Pendikspor,2-1,Bodrum FK
20/07/23,CLF,Pendikspor,0-0,Çorum FK
24/07/23,CLF,Pendikspor,2-0,Manisa FK
27/07/23,CLF,Pendikspor,2-3,Ankaragücü
02/08/23,CLF,Pendikspor,1-1,Antalyaspor
05/08/23,CLF,Kocaelispor,2-0,Pendikspor
12/08/23,SÜL,Pendikspor,1-5,Hatayspor
20/08/23,SÜL,Besiktas,1-1,Pendikspor
26/08/23,SÜL,Kasımpaşa,1-1,Pendikspor
02/09/23,SÜL,Pendikspor,1-1,Alanyaspor
16/09/23,SÜL,Adana Demirspor,3-0,Pendikspor
23/09/23,SÜL,Pendikspor,1-1,Fatih Karagümrük
30/09/23,SÜL,Trabzonspor,2-1,Pendikspor
07/10/23,SÜL,Pendikspor,2-3,Sivasspor
21/10/23,SÜL,Konyaspor,1-2,Pendikspor
29/10/23,SÜL,Pendikspor,0-5,Fenerbahce
04/11/23,SÜL,İstanbulspor,2-4,Pendikspor
12/11/23,SÜL,Pendikspor,1-0,Samsunspor
27/11/23,SÜL,Istanbul Basaksehir,4-1,Pendikspor
02/12/23,SÜL,Pendikspor,0-2,Galatasaray
05/12/23,CUP,Pendikspor,5-3,Isparta 32 Spor
10/12/23,SÜL,Kayserispor,2-0,Pendikspor
21/12/23,SÜL,Rizespor,5-1,Pendikspor
25/12/23,SÜL,Pendikspor,1-1,Ankaragücü
05/01/24,SÜL,Gaziantep FK,2-2,Pendikspor
09/01/24,SÜL,Pendikspor,0-1,Antalyaspor
13/01/24,SÜL,Hatayspor,1-1,Pendikspor
17/01/24,CUP,Antalyaspor,2-1,Pendikspor
20/01/24,SÜL,Pendikspor,4-0,Besiktas
23/01/24,SÜL,Pendikspor,3-2,Kasımpaşa
27/01/24,SÜL,Alanyaspor,1-1,Pendikspor
04/02/24,SÜL,Pendikspor,2-1,Adana Demirspor
10/02/24,SÜL,Fatih Karagümrük,2-0,Pendikspor
18/02/24,SÜL,Pendikspor,0-2,Trabzonspor
25/02/24,SÜL,Sivasspor,4-1,Pendikspor
03/03/24,SÜL,Pendikspor,0-2,Konyaspor
10/03/24,SÜL,Fenerbahce,4-1,Pendikspor
15/03/24,SÜL,Pendikspor,1-0,İstanbulspor
