Date,Competition,Home team,Score,Away team
09/07/23,CLF,Hatayspor,1-1,Hull City
16/07/23,CLF,Hatayspor,1-2,Bodrum FK
24/07/23,CLF,Hatayspor,2-1,Fatih Karagümrük
29/07/23,CLF,Napoli,4-0,Hatayspor
01/08/23,CLF,Salernitana,1-6,Hatayspor
05/08/23,CLF,Hatayspor,2-1,Antalyaspor
12/08/23,SÜL,Pendikspor,1-5,Hatayspor
19/08/23,SÜL,Hatayspor,0-0,Kasımpaşa
27/08/23,SÜL,Alanyaspor,0-0,Hatayspor
03/09/23,SÜL,Hatayspor,3-3,Adana Demirspor
11/09/23,CLF,Hatayspor,2-0,Sakaryaspor
18/09/23,SÜL,Fatih Karagümrük,0-0,Hatayspor
25/09/23,SÜL,Hatayspor,3-2,Trabzonspor
30/09/23,SÜL,Sivasspor,0-0,Hatayspor
08/10/23,SÜL,Hatayspor,3-1,Konyaspor
22/10/23,SÜL,Fenerbahce,4-2,Hatayspor
27/10/23,SÜL,Hatayspor,1-2,Kayserispor
31/10/23,CUP,Hatayspor,2-0,Sarıyer
04/11/23,SÜL,Samsunspor,2-1,Hatayspor
11/11/23,SÜL,Hatayspor,2-1,Galatasaray
25/11/23,SÜL,İstanbulspor,2-1,Hatayspor
01/12/23,SÜL,Hatayspor,3-3,Antalyaspor
06/12/23,CUP,Hatayspor,2-1,Düzcespor
10/12/23,SÜL,Istanbul Basaksehir,1-0,Hatayspor
21/12/23,SÜL,Ankaragücü,0-0,Hatayspor
25/12/23,SÜL,Hatayspor,1-2,Besiktas
06/01/24,SÜL,Rizespor,2-0,Hatayspor
10/01/24,SÜL,Hatayspor,0-0,Gaziantep FK
13/01/24,SÜL,Hatayspor,1-1,Pendikspor
16/01/24,CUP,Hatayspor,5-1,Sakaryaspor
20/01/24,SÜL,Kasımpaşa,3-0,Hatayspor
23/01/24,SÜL,Hatayspor,1-1,Alanyaspor
27/01/24,SÜL,Adana Demirspor,0-1,Hatayspor
02/02/24,SÜL,Hatayspor,3-1,Fatih Karagümrük
07/02/24,CUP,Istanbul Basaksehir,P1-1P,Hatayspor
12/02/24,SÜL,Trabzonspor,2-0,Hatayspor
17/02/24,SÜL,Hatayspor,1-1,Sivasspor
24/02/24,SÜL,Konyaspor,2-0,Hatayspor
02/03/24,SÜL,Hatayspor,0-2,Fenerbahce
10/03/24,SÜL,Kayserispor,1-1,Hatayspor
17/03/24,SÜL,Hatayspor,3-0,Samsunspor
27/03/24,CLF,Adana Demirspor,2-1,Hatayspor
02/04/24,SÜL,Galatasaray,1-0,Hatayspor
14/04/24,SÜL,Hatayspor,0-3,İstanbulspor
21/04/24,SÜL,Antalyaspor,2-1,Hatayspor
27/04/24,SÜL,Hatayspor,1-2,Istanbul Basaksehir
05/05/24,SÜL,Gaziantep FK,18:00,Hatayspor
12/05/24,SÜL,Hatayspor,18:00,Ankaragücü
19/05/24,SÜL,Besiktas,-,Hatayspor
26/05/24,SÜL,Hatayspor,-,Rizespor
24/04/22,SÜL,Istanbul Basaksehir,3-0,Hatayspor
30/04/22,SÜL,Hatayspor,0-1,Altay
06/05/22,SÜL,Hatayspor,1-1,Trabzonspor
15/05/22,SÜL,Konyaspor,3-1,Hatayspor
22/05/22,SÜL,Hatayspor,4-1,Giresunspor
15/07/22,CLF,Hatayspor,1-3,Rizespor
18/07/22,CLF,Erzurumspor FK,0-1,Hatayspor
23/07/22,CLF,Ümraniyespor,3-0,Hatayspor
05/08/22,CLF,Adanaspor,2-2,Hatayspor
12/08/22,SÜL,Trabzonspor,1-0,Hatayspor
20/08/22,SÜL,Hatayspor,1-2,Gaziantep FK
28/08/22,SÜL,Kasımpaşa,1-0,Hatayspor
04/09/22,SÜL,Hatayspor,1-1,Adana Demirspor
10/09/22,SÜL,Konyaspor,1-0,Hatayspor
