Date,Competition,Home team,Score,Away team
07/06/23,SÜL,Ankaragücü,1-2,Adana Demirspor
08/07/23,CLF,Adana Demirspor,5-0,Sucleia
11/07/23,CLF,Adana Demirspor,3-0,Tractor
21/07/23,CLF,Adana Demirspor,2-3,Manisa FK
27/07/23,UEC,CFR Cluj,1-1,Adana Demirspor
03/08/23,UEC,Adana Demirspor,2-1,CFR Cluj
10/08/23,UEC,Adana Demirspor,5-1,Osijek
13/08/23,SÜL,Adana Demirspor,2-1,Rizespor
17/08/23,UEC,Osijek,3-2,Adana Demirspor
21/08/23,SÜL,Ankaragücü,1-1,Adana Demirspor
24/08/23,UEC,Genk,2-1,Adana Demirspor
31/08/23,UEC,Adana Demirspor,P1-0P,Genk
03/09/23,SÜL,Hatayspor,3-3,Adana Demirspor
16/09/23,SÜL,Adana Demirspor,3-0,Pendikspor
24/09/23,SÜL,Kasımpaşa,2-1,Adana Demirspor
27/09/23,SÜL,Adana Demirspor,4-2,Besiktas
01/10/23,SÜL,Adana Demirspor,4-0,Alanyaspor
06/10/23,SÜL,Adana Demirspor,1-0,Trabzonspor
23/10/23,SÜL,Fatih Karagümrük,2-0,Adana Demirspor
28/10/23,SÜL,Adana Demirspor,3-0,Konyaspor
05/11/23,SÜL,Sivasspor,1-1,Adana Demirspor
12/11/23,SÜL,Adana Demirspor,0-0,Fenerbahce
26/11/23,SÜL,Kayserispor,1-1,Adana Demirspor
02/12/23,SÜL,Adana Demirspor,2-3,Samsunspor
08/12/23,SÜL,Galatasaray,3-1,Adana Demirspor
19/12/23,SÜL,Gaziantep FK,2-2,Adana Demirspor
24/12/23,SÜL,Adana Demirspor,2-1,Antalyaspor
06/01/24,SÜL,Istanbul Basaksehir,0-0,Adana Demirspor
10/01/24,SÜL,Adana Demirspor,2-2,İstanbulspor
13/01/24,SÜL,Rizespor,1-0,Adana Demirspor
17/01/24,CUP,Adana Demirspor,P2-2P,24 Erzincanspor
20/01/24,SÜL,Adana Demirspor,1-1,Ankaragücü
23/01/24,SÜL,Besiktas,0-0,Adana Demirspor
27/01/24,SÜL,Adana Demirspor,0-1,Hatayspor
04/02/24,SÜL,Pendikspor,2-1,Adana Demirspor
09/02/24,SÜL,Adana Demirspor,1-3,Kasımpaşa
18/02/24,SÜL,Alanyaspor,3-3,Adana Demirspor
25/02/24,SÜL,Trabzonspor,1-0,Adana Demirspor
04/03/24,SÜL,Adana Demirspor,1-0,Fatih Karagümrük
09/03/24,SÜL,Konyaspor,2-2,Adana Demirspor
16/03/24,SÜL,Adana Demirspor,4-1,Sivasspor
27/03/24,CLF,Adana Demirspor,2-1,Hatayspor
03/04/24,SÜL,Fenerbahce,4-2,Adana Demirspor
13/04/24,SÜL,Adana Demirspor,0-0,Kayserispor
20/04/24,SÜL,Samsunspor,1-1,Adana Demirspor
26/04/24,SÜL,Adana Demirspor,0-3,Galatasaray
04/05/24,SÜL,İstanbulspor,15:00,Adana Demirspor
12/05/24,SÜL,Adana Demirspor,18:00,Gaziantep FK
19/05/24,SÜL,Antalyaspor,-,Adana Demirspor
26/05/24,SÜL,Adana Demirspor,-,Istanbul Basaksehir
08/07/22,CLF,Adana Demirspor,0-2,Gaziantep FK
12/07/22,CLF,Adana Demirspor,0-2,Umm Salal
15/07/22,CLF,Adana Demirspor,3-2,İstanbulspor
24/07/22,CLF,Pescara,2-1,Adana Demirspor
27/07/22,CLF,Napoli,2-2,Adana Demirspor
07/08/22,SÜL,Giresunspor,2-3,Adana Demirspor
