Date,Competition,Home team,Score,Away team
07/05/23,1.L,Yeni Malatyaspor,0-3,Samsunspor
16/05/23,1.L,Samsunspor,0-1,Bodrum FK
21/05/23,1.L,Adanaspor,0-3,Samsunspor
11/07/23,CLF,Rizespor,0-1,Samsunspor
13/07/23,CLF,Konyaspor,3-2,Samsunspor
25/07/23,CLF,Samsunspor,3-1,Eyüpspor
28/07/23,CLF,Samsunspor,4-0,Bodrum FK
13/08/23,SÜL,Sivasspor,1-1,Samsunspor
21/08/23,SÜL,Samsunspor,0-2,Fenerbahce
27/08/23,SÜL,Kayserispor,2-1,Samsunspor
10/09/23,CLF,Samsunspor,6-1,Giresunspor
16/09/23,SÜL,Galatasaray,4-2,Samsunspor
23/09/23,SÜL,Antalyaspor,2-0,Samsunspor
29/09/23,SÜL,Samsunspor,1-2,Gaziantep FK
08/10/23,SÜL,Rizespor,1-0,Samsunspor
22/10/23,SÜL,Samsunspor,0-0,Istanbul Basaksehir
29/10/23,SÜL,Ankaragücü,2-0,Samsunspor
04/11/23,SÜL,Samsunspor,2-1,Hatayspor
08/11/23,SÜL,Samsunspor,2-1,İstanbulspor
12/11/23,SÜL,Pendikspor,1-0,Samsunspor
26/11/23,SÜL,Samsunspor,1-2,Besiktas
02/12/23,SÜL,Adana Demirspor,2-3,Samsunspor
05/12/23,CUP,Samsunspor,3-0,Tokat Bld Plevnespor
09/12/23,SÜL,Samsunspor,4-2,Kasımpaşa
21/12/23,SÜL,Samsunspor,1-1,Konyaspor
25/12/23,SÜL,Alanyaspor,3-1,Samsunspor
06/01/24,SÜL,Samsunspor,1-0,Fatih Karagümrük
11/01/24,SÜL,Trabzonspor,2-1,Samsunspor
14/01/24,SÜL,Samsunspor,2-0,Sivasspor
17/01/24,CUP,Alanyaspor,E1-3E,Samsunspor
21/01/24,SÜL,Fenerbahce,1-1,Samsunspor
25/01/24,SÜL,Samsunspor,2-0,Kayserispor
29/01/24,SÜL,İstanbulspor,1-1,Samsunspor
02/02/24,SÜL,Samsunspor,0-2,Galatasaray
06/02/24,CUP,Fatih Karagümrük,2-1,Samsunspor
12/02/24,SÜL,Samsunspor,2-0,Antalyaspor
18/02/24,SÜL,Gaziantep FK,1-1,Samsunspor
23/02/24,SÜL,Samsunspor,3-0,Rizespor
03/03/24,SÜL,Istanbul Basaksehir,1-0,Samsunspor
10/03/24,SÜL,Samsunspor,2-1,Ankaragücü
17/03/24,SÜL,Hatayspor,3-0,Samsunspor
26/03/24,CLF,Samsunspor,6-1,Çorum FK
04/04/24,SÜL,Samsunspor,0-0,Pendikspor
13/04/24,SÜL,Besiktas,1-1,Samsunspor
20/04/24,SÜL,Samsunspor,1-1,Adana Demirspor
27/04/24,SÜL,Kasımpaşa,1-0,Samsunspor
04/05/24,SÜL,Samsunspor,18:00,Trabzonspor
12/05/24,SÜL,Konyaspor,18:00,Samsunspor
19/05/24,SÜL,Samsunspor,-,Alanyaspor
26/05/24,SÜL,Fatih Karagümrük,-,Samsunspor
20/02/22,1.L,Samsunspor,5-0,Denizlispor
27/02/22,1.L,Ümraniyespor,3-1,Samsunspor
05/03/22,1.L,Samsunspor,2-4,Menemen
19/03/22,1.L,Erzurumspor FK,1-2,Samsunspor
02/04/22,1.L,Samsunspor,0-1,Bandırmaspor
10/04/22,1.L,Manisa FK,2-0,Samsunspor
17/04/22,1.L,Samsunspor,2-2,Eyüpspor
21/04/22,1.L,Adanaspor,1-0,Samsunspor
25/04/22,1.L,Samsunspor,2-1,Altınordu
01/05/22,1.L,Ankaragücü,0-0,Samsunspor
08/05/22,1.L,Boluspor,2-1,Samsunspor
14/05/22,1.L,Samsunspor,0-0,İstanbulspor
20/05/22,1.L,Tuzlaspor,2-4,Samsunspor
17/07/22,CLF,Gaziantep FK,1-0,Samsunspor
12/08/22,1.L,Altay,0-2,Samsunspor
20/08/22,1.L,Samsunspor,1-1,Eyüpspor
27/08/22,1.L,Erzurumspor FK,2-2,Samsunspor
05/09/22,1.L,Samsunspor,0-1,Manisa FK
11/09/22,1.L,Rizespor,1-1,Samsunspor
18/09/22,1.L,Samsunspor,3-2,Sakaryaspor
02/10/22,1.L,Bandırmaspor,0-0,Samsunspor
08/10/22,1.L,Samsunspor,2-0,Gençlerbirliği
15/10/22,1.L,Altınordu,2-1,Samsunspor
19/10/22,CUP,Samsunspor,3-0,1984 Muşspor
23/10/22,1.L,Samsunspor,2-2,Boluspor
29/10/22,1.L,Pendikspor,0-2,Samsunspor
06/11/22,1.L,Samsunspor,1-0,Göztepe
09/11/22,CUP,Samsunspor,4-0,Adanaspor
13/11/22,1.L,Tuzlaspor,1-2,Samsunspor
27/11/22,1.L,Ankara Keçiörengücü,1-1,Samsunspor
03/12/22,1.L,Samsunspor,5-0,Denizlispor
09/12/22,1.L,Samsunspor,1-1,Yeni Malatyaspor
17/12/22,1.L,Bodrum FK,0-0,Samsunspor
21/12/22,CUP,Trabzonspor,3-0,Samsunspor
25/12/22,1.L,Samsunspor,2-1,Adanaspor
14/01/23,1.L,Samsunspor,2-1,Altay
22/01/23,1.L,Eyüpspor,1-4,Samsunspor
30/01/23,1.L,Samsunspor,2-1,Erzurumspor FK
05/02/23,1.L,Manisa FK,1-1,Samsunspor
04/03/23,1.L,Samsunspor,2-0,Rizespor
09/03/23,1.L,Sakaryaspor,0-1,Samsunspor
13/03/23,1.L,Samsunspor,5-0,Bandırmaspor
18/03/23,1.L,Gençlerbirliği,0-1,Samsunspor
24/03/23,1.L,Samsunspor,2-0,Altınordu
28/03/23,1.L,Boluspor,1-5,Samsunspor
01/04/23,1.L,Samsunspor,4-2,Pendikspor
07/04/23,1.L,Göztepe,1-0,Samsunspor
11/04/23,1.L,Samsunspor,1-0,Tuzlaspor
23/04/23,1.L,Samsunspor,4-1,Ankara Keçiörengücü
30/04/23,1.L,Denizlispor,1-2,Samsunspor
24/01/21,1.L,Samsunspor,1-0,Altay
