Date,Competition,Home team,Score,Away team
16/05/23,SÜL,Sivasspor,1-2,Kasımpaşa
20/05/23,SÜL,Kasımpaşa,1-0,İstanbulspor
30/05/23,SÜL,Alanyaspor,1-3,Kasımpaşa
03/06/23,SÜL,Kasımpaşa,2-5,Besiktas
06/06/23,SÜL,Fatih Karagümrük,3-0,Kasımpaşa
26/07/23,CLF,Kasımpaşa,1-0,Al Hussein
29/07/23,CLF,Kasımpaşa,0-1,Al Arabi
02/08/23,CLF,Kasımpaşa,4-2,Gaziantep FK
05/08/23,CLF,Kasımpaşa,3-0,Ümraniyespor
12/08/23,SÜL,Kasımpaşa,3-2,Ankaragücü
19/08/23,SÜL,Hatayspor,0-0,Kasımpaşa
26/08/23,SÜL,Kasımpaşa,1-1,Pendikspor
01/09/23,SÜL,Kasımpaşa,1-5,Trabzonspor
17/09/23,SÜL,Alanyaspor,3-3,Kasımpaşa
24/09/23,SÜL,Kasımpaşa,2-1,Adana Demirspor
01/10/23,SÜL,Fatih Karagümrük,2-3,Kasımpaşa
08/10/23,SÜL,Kasımpaşa,0-2,Fenerbahce
22/10/23,SÜL,Sivasspor,0-1,Kasımpaşa
27/10/23,SÜL,Kasımpaşa,3-1,İstanbulspor
31/10/23,CUP,Kasımpaşa,3-0,68 Aksaray Belediyespor
03/11/23,SÜL,Galatasaray,2-1,Kasımpaşa
11/11/23,SÜL,Kasımpaşa,3-4,Kayserispor
25/11/23,SÜL,Konyaspor,2-0,Kasımpaşa
03/12/23,SÜL,Kasımpaşa,4-2,Gaziantep FK
06/12/23,CUP,Kasımpaşa,4-1,Kırşehir FK
09/12/23,SÜL,Samsunspor,4-2,Kasımpaşa
20/12/23,SÜL,Antalyaspor,0-0,Kasımpaşa
25/12/23,SÜL,Kasımpaşa,2-2,Rizespor
05/01/24,SÜL,Besiktas,1-3,Kasımpaşa
09/01/24,SÜL,Kasımpaşa,0-3,Istanbul Basaksehir
13/01/24,SÜL,Ankaragücü,3-1,Kasımpaşa
16/01/24,CUP,Kasımpaşa,0-1,Bandırmaspor
20/01/24,SÜL,Kasımpaşa,3-0,Hatayspor
23/01/24,SÜL,Pendikspor,3-2,Kasımpaşa
29/01/24,SÜL,Trabzonspor,2-3,Kasımpaşa
04/02/24,SÜL,Kasımpaşa,2-1,Alanyaspor
09/02/24,SÜL,Adana Demirspor,1-3,Kasımpaşa
16/02/24,SÜL,Kasımpaşa,1-1,Fatih Karagümrük
24/02/24,SÜL,Fenerbahce,2-1,Kasımpaşa
01/03/24,SÜL,Kasımpaşa,0-0,Sivasspor
10/03/24,SÜL,İstanbulspor,1-2,Kasımpaşa
17/03/24,SÜL,Kasımpaşa,3-4,Galatasaray
03/04/24,SÜL,Kayserispor,0-2,Kasımpaşa
13/04/24,SÜL,Kasımpaşa,0-2,Konyaspor
21/04/24,SÜL,Gaziantep FK,2-0,Kasımpaşa
27/04/24,SÜL,Kasımpaşa,1-0,Samsunspor
05/05/24,SÜL,Istanbul Basaksehir,15:00,Kasımpaşa
12/05/24,SÜL,Kasımpaşa,18:00,Antalyaspor
19/05/24,SÜL,Rizespor,-,Kasımpaşa
26/05/24,SÜL,Kasımpaşa,-,Besiktas
03/04/22,SÜL,Kasımpaşa,2-1,Gaziantep FK
09/04/22,SÜL,Fatih Karagümrük,3-2,Kasımpaşa
17/04/22,SÜL,Kasımpaşa,4-0,Adana Demirspor
25/04/22,SÜL,Besiktas,0-3,Kasımpaşa
30/04/22,SÜL,Kasımpaşa,2-3,Istanbul Basaksehir
07/05/22,SÜL,Sivasspor,1-3,Kasımpaşa
15/05/22,SÜL,Kasımpaşa,2-4,Antalyaspor
21/05/22,SÜL,Altay,2-4,Kasımpaşa
08/07/22,CLF,Kasımpaşa,2-2,Ümraniyespor
16/07/22,CLF,Kasımpaşa,1-0,Boluspor
21/07/22,CLF,Kasımpaşa,2-2,Altınordu
24/07/22,CLF,Galatasaray,2-1,Kasımpaşa
30/07/22,CLF,Kasımpaşa,1-1,Pendikspor
08/08/22,SÜL,Istanbul Basaksehir,4-0,Kasımpaşa
15/08/22,SÜL,Kasımpaşa,0-6,Fenerbahce
20/08/22,SÜL,Giresunspor,1-0,Kasımpaşa
28/08/22,SÜL,Kasımpaşa,1-0,Hatayspor
04/09/22,SÜL,Antalyaspor,0-2,Kasımpaşa
11/09/22,SÜL,Kasımpaşa,2-3,Galatasaray
17/09/22,SÜL,Ümraniyespor,1-2,Kasımpaşa
01/10/22,SÜL,Kasımpaşa,1-0,Gaziantep FK
10/10/22,SÜL,Trabzonspor,0-0,Kasımpaşa
15/10/22,SÜL,Kasımpaşa,1-4,Adana Demirspor
18/10/22,CUP,Kasımpaşa,E2-1E,Yeni Mersin İY
23/10/22,SÜL,Kasımpaşa,0-1,Kayserispor
29/10/22,SÜL,Konyaspor,1-1,Kasımpaşa
04/11/22,SÜL,Kasımpaşa,1-1,Ankaragücü
08/11/22,CUP,Kasımpaşa,6-1,1461 Trabzon FK
06/12/22,CLF,Kasımpaşa,3-1,İstanbulspor
10/12/22,CLF,Trabzonspor,1-1,Kasımpaşa
20/12/22,CUP,Kasımpaşa,1-2,Ümraniyespor
24/12/22,SÜL,Kasımpaşa,1-2,Sivasspor
28/12/22,SÜL,İstanbulspor,2-1,Kasımpaşa
04/01/23,SÜL,Kasımpaşa,4-1,Alanyaspor
07/01/23,SÜL,Besiktas,2-1,Kasımpaşa
15/01/23,SÜL,Kasımpaşa,2-2,Fatih Karagümrük
21/01/23,SÜL,Kasımpaşa,1-3,Istanbul Basaksehir
29/01/23,SÜL,Fenerbahce,5-1,Kasımpaşa
01/02/23,SÜL,Kasımpaşa,5-1,Giresunspor
05/02/23,SÜL,Hatayspor,1-0,Kasımpaşa
25/02/23,CLF,Kasımpaşa,1-3,Fatih Karagümrük
06/03/23,SÜL,Kasımpaşa,3-1,Antalyaspor
11/03/23,SÜL,Galatasaray,1-0,Kasımpaşa
18/03/23,SÜL,Kasımpaşa,1-1,Ümraniyespor
02/04/23,SÜL,Gaziantep FK,0-3,Kasımpaşa
08/04/23,SÜL,Kasımpaşa,2-0,Trabzonspor
15/04/23,SÜL,Adana Demirspor,5-0,Kasımpaşa
19/04/23,SÜL,Kayserispor,0-0,Kasımpaşa
23/04/23,SÜL,Kasımpaşa,1-2,Konyaspor
29/04/23,SÜL,Ankaragücü,0-0,Kasımpaşa
08/04/21,SÜL,Denizlispor,1-1,Kasımpaşa
12/04/21,SÜL,Kasımpaşa,0-0,Yeni Malatyaspor
18/04/21,SÜL,Gaziantep FK,2-2,Kasımpaşa
22/04/21,SÜL,Kasımpaşa,0-1,Istanbul Basaksehir
25/04/21,SÜL,Fenerbahce,3-2,Kasımpaşa
03/05/21,SÜL,Kasımpaşa,3-0,Alanyaspor
08/05/21,SÜL,Erzurumspor FK,0-1,Kasımpaşa
11/05/21,SÜL,Kasımpaşa,3-1,Ankaragücü
15/05/21,SÜL,Sivasspor,2-1,Kasımpaşa
10/07/21,CLF,Galatasaray,4-2,Kasımpaşa
15/07/21,CLF,Kasımpaşa,3-1,İstanbulspor
19/07/21,CLF,Fenerbahce,4-1,Kasımpaşa
26/07/21,CLF,Trabzonspor,2-1,Kasımpaşa
31/07/21,CLF,Kasımpaşa,1-2,Istanbul Basaksehir
04/08/21,CLF,Kasımpaşa,5-1,Fatih Karagümrük
14/08/21,SÜL,Hatayspor,1-1,Kasımpaşa
21/08/21,SÜL,Kasımpaşa,2-0,Giresunspor
29/08/21,SÜL,Kasımpaşa,2-2,Galatasaray
04/09/21,CLF,Kasımpaşa,0-3,Tuzlaspor
11/09/21,SÜL,Kayserispor,2-0,Kasımpaşa
18/09/21,SÜL,Kasımpaşa,0-1,Trabzonspor
23/09/21,SÜL,Alanyaspor,2-0,Kasımpaşa
27/09/21,SÜL,Kasımpaşa,2-2,Konyaspor
03/10/21,SÜL,Fenerbahce,2-1,Kasımpaşa
17/10/21,SÜL,Kasımpaşa,1-2,Göztepe
23/10/21,SÜL,Rizespor,2-1,Kasımpaşa
30/10/21,SÜL,Kasımpaşa,2-0,Yeni Malatyaspor
05/11/21,SÜL,Gaziantep FK,2-0,Kasımpaşa
13/11/21,CLF,Kasımpaşa,0-1,İstanbulspor
21/11/21,SÜL,Kasımpaşa,1-3,Fatih Karagümrük
26/11/21,SÜL,Adana Demirspor,0-0,Kasımpaşa
30/11/21,CUP,Kasımpaşa,5-0,Kestelspor
03/12/21,SÜL,Kasımpaşa,1-1,Besiktas
11/12/21,SÜL,Istanbul Basaksehir,2-1,Kasımpaşa
18/12/21,SÜL,Kasımpaşa,1-3,Sivasspor
21/12/21,SÜL,Antalyaspor,1-1,Kasımpaşa
25/12/21,SÜL,Kasımpaşa,2-0,Altay
28/12/21,CUP,Kasımpaşa,E5-3E,Kocaelispor
08/01/22,SÜL,Kasımpaşa,3-1,Hatayspor
16/01/22,SÜL,Giresunspor,0-2,Kasımpaşa
20/01/22,SÜL,Galatasaray,1-3,Kasımpaşa
23/01/22,SÜL,Kasımpaşa,3-1,Kayserispor
05/02/22,SÜL,Trabzonspor,1-0,Kasımpaşa
08/02/22,CUP,Kasımpaşa,1-2,Gaziantep FK
13/02/22,SÜL,Kasımpaşa,2-2,Alanyaspor
18/02/22,SÜL,Konyaspor,4-4,Kasımpaşa
28/02/22,SÜL,Kasımpaşa,1-2,Fenerbahce
05/03/22,SÜL,Göztepe,2-3,Kasımpaşa
12/03/22,SÜL,Kasımpaşa,3-1,Rizespor
19/03/22,SÜL,Yeni Malatyaspor,0-2,Kasımpaşa
24/02/20,SÜL,Kasımpaşa,2-0,Denizlispor
29/02/20,SÜL,Konyaspor,0-0,Kasımpaşa
08/03/20,SÜL,Kasımpaşa,5-1,Kayserispor
13/03/20,SÜL,Kasımpaşa,2-0,Göztepe
13/06/20,SÜL,Yeni Malatyaspor,1-2,Kasımpaşa
21/06/20,SÜL,Kasımpaşa,2-0,Fenerbahce
29/06/20,SÜL,Gençlerbirliği,0-2,Kasımpaşa
05/07/20,SÜL,Kasımpaşa,0-0,Sivasspor
09/07/20,SÜL,Besiktas,3-2,Kasımpaşa
13/07/20,SÜL,Kasımpaşa,2-0,Rizespor
18/07/20,SÜL,Gaziantep FK,2-2,Kasımpaşa
26/07/20,SÜL,Kasımpaşa,3-2,Istanbul Basaksehir
01/09/20,CLF,Kasımpaşa,1-1,İstanbulspor
03/09/20,CLF,Kasımpaşa,2-2,Istanbul Basaksehir
05/09/20,CLF,Galatasaray,CANC,Kasımpaşa
13/09/20,SÜL,Kayserispor,1-0,Kasımpaşa
20/09/20,SÜL,Kasımpaşa,2-0,Rizespor
26/09/20,SÜL,Hatayspor,1-0,Kasımpaşa
04/10/20,SÜL,Kasımpaşa,1-0,Galatasaray
11/10/20,CLF,Kasımpaşa,0-5,Istanbul Basaksehir
18/10/20,SÜL,Fatih Karagümrük,1-1,Kasımpaşa
23/10/20,SÜL,Kasımpaşa,0-0,Göztepe
30/10/20,SÜL,Trabzonspor,3-4,Kasımpaşa
07/11/20,SÜL,Kasımpaşa,2-2,Antalyaspor
22/11/20,SÜL,Konyaspor,2-1,Kasımpaşa
26/11/20,CUP,Kasımpaşa,3-0,24 Erzincanspor
29/11/20,SÜL,Kasımpaşa,2-0,Gençlerbirliği
04/12/20,SÜL,Besiktas,3-0,Kasımpaşa
11/12/20,SÜL,Kasımpaşa,3-2,Denizlispor
15/12/20,CUP,Kasımpaşa,5-0,Muğlaspor
19/12/20,SÜL,Yeni Malatyaspor,2-0,Kasımpaşa
23/12/20,SÜL,Kasımpaşa,0-4,Gaziantep FK
27/12/20,SÜL,Istanbul Basaksehir,2-2,Kasımpaşa
04/01/21,SÜL,Kasımpaşa,0-3,Fenerbahce
11/01/21,SÜL,Alanyaspor,1-2,Kasımpaşa
14/01/21,CUP,Fenerbahce,1-0,Kasımpaşa
18/01/21,SÜL,Kasımpaşa,1-2,Erzurumspor FK
21/01/21,SÜL,Ankaragücü,1-0,Kasımpaşa
25/01/21,SÜL,Kasımpaşa,2-0,Sivasspor
30/01/21,SÜL,Kasımpaşa,0-1,Kayserispor
02/02/21,SÜL,Rizespor,1-1,Kasımpaşa
06/02/21,SÜL,Kasımpaşa,1-4,Hatayspor
14/02/21,SÜL,Galatasaray,2-1,Kasımpaşa
20/02/21,SÜL,Kasımpaşa,3-2,Fatih Karagümrük
28/02/21,SÜL,Göztepe,1-0,Kasımpaşa
04/03/21,SÜL,Kasımpaşa,1-2,Trabzonspor
08/03/21,SÜL,Antalyaspor,1-1,Kasımpaşa
15/03/21,SÜL,Kasımpaşa,1-1,Konyaspor
20/03/21,SÜL,Gençlerbirliği,2-1,Kasımpaşa
04/04/21,SÜL,Kasımpaşa,1-0,Besiktas
07/02/19,CUP,Akhisarspor,3-1,Kasımpaşa
