Date,Competition,Home team,Score,Away team
23/07/23,CLF,Istanbul Basaksehir,3-1,Al Markhiya
31/07/23,CLF,Istanbul Basaksehir,3-1,Eyüpspor
14/08/23,SÜL,Alanyaspor,2-0,Istanbul Basaksehir
20/08/23,SÜL,Istanbul Basaksehir,0-2,Fatih Karagümrük
26/08/23,CLF,Istanbul Basaksehir,0-1,İstanbulspor
02/09/23,SÜL,Istanbul Basaksehir,0-1,Konyaspor
17/09/23,SÜL,İstanbulspor,0-2,Istanbul Basaksehir
23/09/23,SÜL,Istanbul Basaksehir,1-2,Galatasaray
28/09/23,SÜL,Fenerbahce,4-0,Istanbul Basaksehir
02/10/23,SÜL,Kayserispor,0-0,Istanbul Basaksehir
07/10/23,SÜL,Istanbul Basaksehir,2-0,Gaziantep FK
14/10/23,CLF,Istanbul Basaksehir,1-2,Ümraniyespor
15/10/23,CLF,Istanbul Basaksehir,2-0,Bandırmaspor
22/10/23,SÜL,Samsunspor,0-0,Istanbul Basaksehir
29/10/23,SÜL,Antalyaspor,1-0,Istanbul Basaksehir
05/11/23,SÜL,Istanbul Basaksehir,3-3,Ankaragücü
12/11/23,SÜL,Besiktas,1-0,Istanbul Basaksehir
19/11/23,CLF,Istanbul Basaksehir,1-2,Fatih Karagümrük
27/11/23,SÜL,Istanbul Basaksehir,4-1,Pendikspor
02/12/23,SÜL,Rizespor,3-2,Istanbul Basaksehir
07/12/23,CUP,Istanbul Basaksehir,2-0,Şanlıurfaspor
10/12/23,SÜL,Istanbul Basaksehir,1-0,Hatayspor
19/12/23,SÜL,Istanbul Basaksehir,3-1,Sivasspor
23/12/23,SÜL,Trabzonspor,1-1,Istanbul Basaksehir
06/01/24,SÜL,Istanbul Basaksehir,0-0,Adana Demirspor
09/01/24,SÜL,Kasımpaşa,0-3,Istanbul Basaksehir
13/01/24,SÜL,Istanbul Basaksehir,3-2,Alanyaspor
17/01/24,CUP,Istanbul Basaksehir,1-0,Boluspor
20/01/24,SÜL,Fatih Karagümrük,1-1,Istanbul Basaksehir
24/01/24,SÜL,Istanbul Basaksehir,0-1,Fenerbahce
28/01/24,SÜL,Konyaspor,2-3,Istanbul Basaksehir
03/02/24,SÜL,Istanbul Basaksehir,2-0,İstanbulspor
07/02/24,CUP,Istanbul Basaksehir,P1-1P,Hatayspor
10/02/24,SÜL,Galatasaray,2-0,Istanbul Basaksehir
19/02/24,SÜL,Istanbul Basaksehir,2-3,Kayserispor
24/02/24,SÜL,Gaziantep FK,0-2,Istanbul Basaksehir
28/02/24,CUP,Trabzonspor,1-0,Istanbul Basaksehir
03/03/24,SÜL,Istanbul Basaksehir,1-0,Samsunspor
09/03/24,SÜL,Istanbul Basaksehir,1-0,Antalyaspor
16/03/24,SÜL,Ankaragücü,2-1,Istanbul Basaksehir
26/03/24,CLF,Istanbul Basaksehir,4-1,Tuzlaspor
26/03/24,CLF,Istanbul Basaksehir,5-2,Kocaelispor
04/04/24,SÜL,Istanbul Basaksehir,1-1,Besiktas
14/04/24,SÜL,Pendikspor,2-3,Istanbul Basaksehir
21/04/24,SÜL,Istanbul Basaksehir,2-0,Rizespor
27/04/24,SÜL,Hatayspor,1-2,Istanbul Basaksehir
05/05/24,SÜL,Istanbul Basaksehir,15:00,Kasımpaşa
12/05/24,SÜL,Sivasspor,18:00,Istanbul Basaksehir
19/05/24,SÜL,Istanbul Basaksehir,-,Trabzonspor
26/05/24,SÜL,Adana Demirspor,-,Istanbul Basaksehir
15/09/22,UEC,Istanbul Basaksehir,3-0,Fiorentina
18/09/22,SÜL,Istanbul Basaksehir,0-0,Fatih Karagümrük
25/09/22,CLF,Istanbul Basaksehir,5-2,Eyüpspor
01/10/22,SÜL,Ankaragücü,1-2,Istanbul Basaksehir
06/10/22,UEC,Rigas FS,0-0,Istanbul Basaksehir
10/10/22,SÜL,Istanbul Basaksehir,0-2,Sivasspor
13/10/22,UEC,Istanbul Basaksehir,3-0,Rigas FS
16/10/22,SÜL,Istanbul Basaksehir,2-0,İstanbulspor
22/10/22,SÜL,Fenerbahce,1-0,Istanbul Basaksehir
27/10/22,UEC,Fiorentina,2-1,Istanbul Basaksehir
31/10/22,SÜL,Istanbul Basaksehir,3-1,Giresunspor
03/11/22,UEC,Istanbul Basaksehir,3-1,Hearts
07/11/22,SÜL,Hatayspor,3-3,Istanbul Basaksehir
12/11/22,SÜL,Istanbul Basaksehir,0-7,Galatasaray
30/11/22,CLF,Istanbul Basaksehir,1-1,Hull City
10/12/22,CLF,Istanbul Basaksehir,2-1,Westerlo
13/12/22,CLF,Istanbul Basaksehir,2-2,Toulouse
20/12/22,CUP,Istanbul Basaksehir,3-1,Göztepe
23/12/22,SÜL,Ümraniyespor,1-3,Istanbul Basaksehir
27/12/22,SÜL,Istanbul Basaksehir,2-0,Antalyaspor
05/01/23,SÜL,Gaziantep FK,1-1,Istanbul Basaksehir
09/01/23,SÜL,Istanbul Basaksehir,2-1,Adana Demirspor
14/01/23,SÜL,Trabzonspor,1-0,Istanbul Basaksehir
18/01/23,CUP,Fatih Karagümrük,P2-2P,Istanbul Basaksehir
